category,item,qty,specification,required,notes
Core,Waveshare RoArm-M3 Pro,1,Existing arm,Yes,Use factory rear-edge clamp
Core,Structural board,1,610 x 457 x 18 mm birch plywood preferred,Yes,Purchase cut to size; seal both faces equally with a matte finish; no router or CNC is required
Core,Compact keyboard,1,Perixx PERIBOARD-409 nominal 315 x 147 x 21 mm,Yes,CAD defaults to this exact envelope
Core,Samsung Galaxy A16 5G,1,Nominal bare body 164.4 x 77.9 x 7.9 mm,Yes,Print the fit coupon before the integrated phone/TCP station; any case requires measured parameter overrides
Fabrication,Digital calipers,1,0.01 mm display / approximately 0.02-0.05 mm practical accuracy,Yes,Measure devices rods inserts springs and printed coupons only after cooling
Fabrication,Heat-set insert installation tip,1,M3 tip compatible with the selected compliant-tool and TCP-receiver inserts,Yes,Install square at low pressure using profile-specific coupon-selected pockets
Fabrication,Hand drill and depth-control set,1,2.5-3.0 mm pilot bit; 6 mm brad-point bit; anchor-barrel bit selected by scrap test; positive depth collars; awl or transfer punch; drill square/portable guide,Yes,Use the 1:1 setup template only to transfer centers; remove it before final drilling; locator bores are blind and every final anchor bore follows the selected interface manufacturer plus the 18 mm cutoff test
Fabrication,Filament dryer or dry storage,1,Appropriate for ABS PETG TPU and ASA,Recommended,Especially important for exact-spool TPU and PETG dimensional consistency and surface quality
Fabrication,QIDI ABS Rapido filament,1 controlled lot,QIDI ABS Rapido for X-Plus 4 with 0.4 mm nozzle,Yes,Primary rigid material for jobs 00A 00B 00C 00E 00F 01 02 03A 03B 03C1 03C2 03D and 04A; purchase sufficient same-lot mass after final native slices; use the exact controlled filament preset
Fabrication,PETG filament for split adapters,1 qualified spool,Exact brand product lot and calibrated X-Plus 4 preset to be recorded before printing,Route dependent,Retained for jobs 00D 04B and 04C because their thin split features need ductility; job 03C3 additionally needs a qualified PETG general process only if the fixed-mast fallback is formally released; no generic thermal values are released
Fabrication,TPU 95A filament for contact tips,1 qualified spool,Exact brand product Shore 95A lot and calibrated X-Plus 4 preset to be recorded before printing,Yes,Required only for jobs 05A through 05D; dry and qualify the first articles before production tips
Fabrication,ASA filament for fixed-mast fallback,1 qualified spool,Exact brand product lot and calibrated enclosed X-Plus 4 preset to be recorded only after fallback release,Optional,Inactive fixed-mast jobs 06 07A and 07B only; not part of the intended arm-camera route
Fabrication,Digital force gauge or calibrated weights,1,0-50 N minimum push-pull gauge with 0.1 N resolution OR a safe fixture with traceable weights capable of 10 N 20 N and 50 N,Yes,Required for the station functional/lateral proofs and the 50 N board-anchor proof; do not hand-estimate acceptance loads
Fabrication,Straightedge and feeler gauge set,1,300 mm precision straightedge plus 0.10 mm and 0.50 mm feelers,Yes,Measure board/station flatness and verify retained base contact without forcing the feeler
Fabrication,Low-range torque driver,1,Calibrated tool covering 0.25-0.35 N m with M4 bit,Yes,Use for every station retainer after all shared-fastener stacks are engaged by hand
Assembly,Keyboard rear-clamp face pad pieces,2,Adhesive-backed EVA or TPU 42 x 10 x 0.8-1.0 mm,Yes,One replaceable face pad per rear clamp; do not bow the keyboard case
Assembly,M4 low-profile keyboard clamp/retention screws,4,Hand-adjustable length selected from the direct station-to-board stack; two installed plus two spares,Yes,Each screw passes through a rear-clamp slider and station into the board threaded interface; it replaces the conventional station screw at KBL-CLAMP or KBR-CLAMP and is tightened only until padded contact
Vision,USB camera,1,Exact arm-camera model and interface to be controlled; 1080p manual/fixed exposure preferred where compatible,Yes,Primary intent is arm-mounted/eye-in-hand; the existing rigid-above-workcell mast and universal plate are unqualified fallback hardware only
Vision,Matte white paper/card,2,"Letter/A4, non-glossy",Yes,ChArUco board only
Vision,Full-surface matte adhesive AprilTag tiles,12,Six IDs 0-5 plus one complete spare set; 55.0 mm tile with 40.0 mm detection edge,Yes,Apply directly to the cured sealed board using the generated 1:1 template; do not use small tape patches
Vision,Lint-free wipes and finish-compatible cleaner,1,IPA only if proven compatible with the cured board finish,Yes,Clean each direct-tag area without leaving gloss residue
Board interface,6 mm precision dowel pins,6,6 x 20 mm hardened or stainless pins; four installed plus two spares,Yes,Install in depth-stop-controlled 15.0 mm blind board bores after coupon selection; target exposed projection is 5.0 mm
