file,plain_name,use,job_ids,profiles,quantity_by_job,selections,canonical_path,sha256
cable_tie_saddle_fit_gauge.stl,Cable Tie Saddle Fit Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,00B,abs_rapido_cradle_0p4,00B:1,required,stl/cable_tie_saddle_fit_gauge.stl,8de2b07efef5bef8ef9297407c0bd22dd7945adc16f84fd0dab236e304398598
hardware_fit_gauge.stl,Hardware Fit Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,00E,abs_rapido_general_0p4,00E:1,required,stl/hardware_fit_gauge.stl,4a9a35b618a420931b7e8b6b717aee4a3eb68f8948fff04e5a69fd65266e9e42
m4_captive_nut_fit_gauge.stl,M4 Captive Nut Fit Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,00B,abs_rapido_cradle_0p4,00B:1,required,stl/m4_captive_nut_fit_gauge.stl,5771bfa01542ab24999c806f4347486d6cc1800f6a13a17ebfdb9264644e8aec
m4_washer_fit_gauge.stl,M4 Washer Fit Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,00B,abs_rapido_cradle_0p4,00B:1,required,stl/m4_washer_fit_gauge.stl,98f27d3b7f274754a274f9856a8318c8b0c98f2fb5b485223fec74236ae349ff
phone_clamp_rail.stl,Phone Clamp Rail,TRACEABILITY_ONLY_DO_NOT_PRINT,03C1,abs_rapido_cradle_0p4,03C1:1,required,stl/phone_clamp_rail.stl,f766a24143f11769a0bcef7236b09938f4c02434b3b5d8e6d77b21b37f49dcff
phone_clamp_tip_TPU_M4.stl,Phone Clamp Tip TPU M4,TRACEABILITY_ONLY_DO_NOT_PRINT,05A; 05B,tpu95a_0p4,05A:1; 05B:3,required,stl/phone_clamp_tip_TPU_M4.stl,77883a940d153460346de3ffdfcf3a281e2572ab404dd1f4dc50ec8808afef94
phone_m3_insert_fit_gauge.stl,Phone M3 Insert Fit Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,00B,abs_rapido_cradle_0p4,00B:1,required,stl/phone_m3_insert_fit_gauge.stl,54a7990f706256dd30d3d5ea7487f479e970c1e1d8f212be1996b6df6d1a2e65
phone_tcp_station.stl,Phone TCP Station,TRACEABILITY_ONLY_DO_NOT_PRINT,03A,abs_rapido_cradle_0p4,03A:1,required,stl/phone_tcp_station.stl,63e02e28f9bb818007564eab7e82e2b9ce8417f30bdf3cbec3c3a86ec08ac32e
phone_width_fit_test.stl,Phone Width Fit Test,TRACEABILITY_ONLY_DO_NOT_PRINT,00B,abs_rapido_cradle_0p4,00B:1,required,stl/phone_width_fit_test.stl,1091a6d591259a4a22b6d9fd7b36d4a8264807ef5c169fe3c5b1019a16420cfa
setup_hardware_fit_gauge.stl,Setup Hardware Fit Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,00E,abs_rapido_general_0p4,00E:1,required,stl/setup_hardware_fit_gauge.stl,e6394a26fe104fb2af1b05df14865a5be2908bf6e99fab79c93aa034a2dc57b4
station_locator_fit_gauge.stl,Station Locator Fit Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,00B,abs_rapido_cradle_0p4,00B:1,required,stl/station_locator_fit_gauge.stl,7b34ff9a05495ce702310171cd27c5201e0c1ee54fede8c9cdbeea7260d3d1d5
tpu_tip_retention_gauge.stl,TPU Tip Retention Gauge,TRACEABILITY_ONLY_DO_NOT_PRINT,00E,abs_rapido_general_0p4,00E:1,required,stl/tpu_tip_retention_gauge.stl,0476c9c867a9f28816c5df107f8bcff9e44b7e1ba79e8927501a8d1c6d32b777
