record_id,stage,assembly,measurement,unit,candidate_or_requirement,observed_value,instrument_or_method,evidence_path,status,notes
INT-001,receipt,placemat,board_width,mm,610 nominal,,,,NOT_MEASURED,"Do not substitute nominal for observation"
INT-002,receipt,placemat,board_depth,mm,457 nominal,,,,NOT_MEASURED,"Do not substitute nominal for observation"
INT-003,receipt,placemat,board_thickness_min,mm,17.5 interface accommodation floor,,,,NOT_MEASURED,
INT-004,receipt,placemat,board_thickness_max,mm,18.5 interface accommodation ceiling,,,,NOT_MEASURED,
INT-005,receipt,placemat,board_top_flatness,mm,limit derived from target error budget,,,,OPEN_LIMIT,"Measure under installed clamp preload"
INT-006,receipt,bench,top_material,text,rigid and anchorable,,,,NOT_RECORDED,
INT-007,receipt,bench,top_thickness,mm,required for anchor selection,,,,NOT_MEASURED,
INT-008,receipt,bench,available_width,mm,at least candidate frame envelope plus anchors,,,,NOT_MEASURED,
INT-009,receipt,bench,available_front_depth,mm,at least candidate forward-foot envelope plus access,,,,NOT_MEASURED,
INT-010,receipt,robot,exact_model_and_serial,text,RoArm-M3 Pro required,,,,NOT_RECORDED,
INT-011,receipt,robot,firmware_and_controller_identity,text,exact identity required,,,,NOT_RECORDED,
INT-012,fit_up,robot,base_axis_x_in_B,mm,screening value 305 is not authority,,,,NOT_MEASURED,
INT-013,fit_up,robot,base_axis_y_in_B,mm,screening value 457 is not authority,,,,NOT_MEASURED,
INT-014,fit_up,robot,base_axis_z_in_B,mm,required for STEP sweep,,,,NOT_MEASURED,
INT-015,fit_up,robot,base_yaw_in_B,deg,required for STEP sweep,,,,NOT_MEASURED,
INT-016,fit_up,robot,clamp_and_base_envelope,text,official STEP plus received inspection,,,,NOT_RECORDED,
INT-017,receipt,camera,manufacturer_model_serial,text,Purchased Arducam B0477 catalog configuration; received label/model/serial must be recorded,,,,NOT_RECORDED,"Purchase confirmation is not received-unit identity evidence"
INT-018,receipt,camera,usb_vid_pid_serial_path,text,persistent identity required,,,,NOT_RECORDED,
INT-019,receipt,camera,enclosure_width,mm,38 supplier nominal,,,,NOT_MEASURED,
INT-020,receipt,camera,enclosure_height,mm,38 supplier nominal,,,,NOT_MEASURED,
INT-021,receipt,camera,lens_front_to_back_depth,mm,86.8 supplier nominal,,,,NOT_MEASURED,
INT-022,receipt,camera,installed_mass_g,g,supplier does not publish a trusted installed mass,,,,NOT_MEASURED,
INT-023,receipt,camera,rear_hole_pattern_and_thread,text,two diameter-2 holes at 15 mm shown; thread unknown,,,,NOT_MEASURED,"Do not design primary retention from assumption"
INT-024,receipt,camera,delivered_lens_mount,text,C-mount detailed spec; conflicting CS metadata must be resolved,,,,NOT_RECORDED,
INT-025,optical_bench,camera,sharp_focus_at_950_mm,pass_fail,required PASS,,,,NOT_TESTED,
INT-026,optical_bench,camera,sharp_focus_at_1000_mm,pass_fail,required PASS,,,,NOT_TESTED,
INT-027,optical_bench,camera,sharp_focus_at_1050_mm,pass_fail,required PASS,,,,NOT_TESTED,
INT-028,optical_bench,camera,full_native_mode_after_reopen,pass_fail,5472x3648 at 9 fps YUY2 USB3 required,,,,NOT_TESTED,
INT-029,optical_bench,camera,controls_persist_after_reboot,pass_fail,manual exposure gain white balance focus iris required,,,,NOT_TESTED,
INT-030,optical_bench,camera,usable_undistorted_width_at_final_height,mm,at least 670 with accepted border,,,,NOT_MEASURED,
INT-031,optical_bench,camera,usable_undistorted_depth_at_final_height,mm,at least 517 with accepted border,,,,NOT_MEASURED,
INT-032,fit_up,support,left_post_axis_xyz_in_B,mm,-60 -100 and final installed Z baseline candidate,,,,NOT_MEASURED,
INT-033,fit_up,support,right_post_axis_xyz_in_B,mm,670 -100 and final installed Z baseline candidate,,,,NOT_MEASURED,
INT-034,fit_up,support,entrance_pupil_xyz_in_B,mm,305 228.5 1000 nominal,,,,NOT_MEASURED,
INT-035,fit_up,support,lowest_overhead_geometry_z,mm,at least 920 screening floor,,,,NOT_MEASURED,
INT-036,fit_up,support,fastener_torque_and_locking,text,manufacturer limits and reviewed joint schedule,,,,NOT_RECORDED,
INT-037,fit_up,support,bench_anchor_configuration,text,positive anchors independent of board,,,,NOT_RECORDED,
INT-038,fit_up,support,board_reseat_error,mm,design allocation <=0.25,,,,NOT_TESTED,
INT-039,fit_up,support,camera_carriage_reseat_error,mm,design allocation <=0.10,,,,NOT_TESTED,
INT-040,cable,camera,installed_data_cable_identity_and_length,text,USB3 5 Gbit/s exact identity required,,,,NOT_RECORDED,
INT-041,cable,camera,cable_tug_image_shift,mm,proposed <=0.25 under reviewed 2 N method,,,,NOT_TESTED,"Load method requires responsible review"
INT-042,lighting,cell,light_identity_position_settings,text,exact locked configuration required,,,,NOT_RECORDED,
INT-043,lighting,cell,phone_glare_and_pwm,pass_fail,required PASS over supported brightness states,,,,NOT_TESTED,
INT-044,collision,cell,max_validated_full_sweep_z_plus_uncertainty,mm,must be <=820 if 920 floor is retained,,,,NOT_MEASURED,"Include startup arm gripper tools cable and all routes"
INT-045,collision,cell,complete_static_support_sweep,pass_fail,required PASS with exact STEP geometry,,,,NOT_TESTED,
INT-046,structure,support,static_load_and_tip_review,pass_fail,required PASS by responsible reviewer,,,,NOT_TESTED,
INT-047,structure,support,controlled_bump_permanent_shift,mm,no measurable permanent slip under reviewed method,,,,NOT_TESTED,
INT-048,drift,cell,warmup_pose_shift,mm,inside allocated budget,,,,NOT_TESTED,
INT-049,drift,cell,arm_cycle_pose_shift,mm,inside allocated budget,,,,NOT_TESTED,
INT-050,drift,cell,twenty_four_hour_pose_shift,mm,inside allocated budget,,,,NOT_TESTED,
INT-051,calibration,camera,charuco_accepted_views,count,at least 20 plus held-out evidence,,,,NOT_CAPTURED,
INT-052,calibration,cell,measured_six_tag_map_hash,sha256,required before authority,,,,NOT_CREATED,
INT-053,calibration,cell,static_extrinsic_hash,sha256,required before authority,,,,NOT_CREATED,
INT-054,visibility,cell,all_six_tags_primary_and_recovery,pass_fail,required for every supported route,,,,NOT_TESTED,
INT-055,release,cell,superseding_freeze_id,text,required before physical release,,,,NOT_CREATED,
