item_id,subsystem,qty,unit,candidate_description,candidate_dimension_or_spec,status,source_or_basis,qualification_or_release_note
CAM-001,camera,1,ea,Arducam B0477 IMX283 USB3 UVC camera with included nominal 16 mm lens and metal case,"5472x3648 at 9 fps YUY2; 49 deg H x 38 deg V published; manual focus; nominal C-mount",PURCHASED_PENDING_RECEIPT_INSPECTION,User-confirmed purchase plus Arducam product page and datasheet,"On receipt record label/model/serial and USB identity; verify sensor claim, exact lens, 0.95-1.05 m focus, case interface, delivered C/CS configuration, modes, controls, and condition"
CAM-002,camera_mount,1,ea,Replaceable aluminium camera plate,"100 x 80 x 3 mm minimum; aperture and holes cut only from received camera STEP/measurement",DESIGN_CANDIDATE_EXACT_DRAWING_OPEN,mechanical design allocation,"Use positive antirotation; plate alone is not the enclosure retainer"
CAM-003,camera_mount,1,set,Machined four-sided enclosure cage with rear shoulder and keeper,"Fit measured 38 mm nominal metal enclosure; clear nominal 39 mm lens and controls",DESIGN_CANDIDATE_EXACT_DRAWING_OPEN,B0477 dimensional envelope,"Do not clamp focus/iris rings or assume the two rear holes are threaded"
CAM-004,camera_mount,1,ea,Independent metal safety tether,"Rated above measured camera/mount mass with separate bridge attachment",REQUIRED_EXACT_MPN_OPEN,safety design requirement,"Tether is secondary retention and must not pull on camera during normal use"
STR-001,structure,2,ea,4040 aluminium extrusion upright stock,"1200 mm purchase length; final cut from measured base/crossbar/camera stack",CANDIDATE_STOCK_LENGTH_NOT_CUT_RELEASED,1000 mm optical height plus camera/mount stack,"Do not trim before received-part measurement and collision/load review"
STR-002,structure,1,ea,4040 aluminium extrusion upper front crossbar,"800 mm candidate length",CANDIDATE_CUT_LENGTH_NOT_RELEASED,730 mm post-axis spacing plus 35 mm nominal overhang each end,"Recheck bracket stack and stiffness in assembly CAD; any profile upgrade is a controlled design change"
STR-003,structure,1,ea,4040 aluminium extrusion lower front datum rail,"800 mm candidate length",CANDIDATE_CUT_LENGTH_NOT_RELEASED,common portal and board-datum structure,"Bench interface and vertical stack are unmeasured"
STR-004,structure,2,ea,4040 aluminium extrusion overhead boom,"400 mm candidate length from Y=-100 toward +Y",CANDIDATE_CUT_LENGTH_NOT_RELEASED,camera Y=228.5 mm plus end allowance,"Keep complete boom and joint above Z=920 mm in swept XY; load-test cantilever"
STR-005,structure,1,ea,2040 aluminium extrusion camera bridge,"200 mm candidate length centred on X=305 mm",CANDIDATE_CUT_LENGTH_NOT_RELEASED,dual-boom spacing and XY carriage concept,"Final length follows carriage and cage CAD"
STR-006,structure,2,ea,4040 aluminium extrusion forward base outrigger,"400 mm candidate length extending only toward negative Y",CANDIDATE_CUT_LENGTH_NOT_RELEASED,rear-open forward-footed base concept,"No low rail may extend beside board at Y>=0 without collision qualification"
STR-007,structure,8,ea,Heavy metal extrusion corner or gusset bracket,"Matched to selected 4040 series; no printed load-bearing bracket",REQUIRED_EXACT_MPN_OPEN,frame stiffness requirement,"Quantity and orientation close after joint/load calculation"
STR-008,structure,2,ea,High-level boom diagonal brace,"Metal; sized from measured cantilever load and selected profile",REQUIRED_EXACT_GEOMETRY_OPEN,boom pitch/settle control,"No brace or fastener may fall below Z=920 mm within swept XY"
STR-009,structure,1,set,Matched high-strength fasteners T-nuts washers and locking features,"Manufacturer-matched to selected extrusion; minimum two-fastener antirotation at structural joints",REQUIRED_EXACT_MPN_OPEN,positive retention requirement,"Document material grade engagement torque and thread-lock policy"
STR-010,structure,4,ea,Positive bench anchor or rated clamp,"Load-spreading; independent of plywood placemat",REQUIRED_BENCH_INTERFACE_OPEN,portal overturning and slip restraint,"Exact solution requires bench thickness/material/edge measurements and responsible mechanical review"
