release_revision,layout_sha256,id,type,station,x,y,left_edge_x_mm,front_edge_y_mm,right_edge_mm,rear_edge_mm,local_x_mm,local_y_mm,diameter,depth_mm,protrusion_mm,station_clearance_d_mm,slot_axis,interface,template_action,final_board_bore_control,instruction
RC03-INT-R1,e84db9aa7b88db442f042c6f546196e350c822a2e7609cb4b652b3da535df2e1,KBL-LOC-ROUND,locator_pin_blind,keyboard_left,102.0,78.0,102.0,78.0,508.0,379.0,22.0,6.0,6.0,15.0,5.0,,,round,DRILL_6.0_MM_BLIND_15.0_MM_AFTER_PILOT,6.0 mm blind to 15.0 mm nominal depth; preserve at least 2.0 mm floor,"6 mm blind bore, 15 mm deep; epoxy 6x20 dowel with 5 mm projection"
RC03-INT-R1,e84db9aa7b88db442f042c6f546196e350c822a2e7609cb4b652b3da535df2e1,KBL-LOC-RADIAL,locator_pin_blind,keyboard_left,220.5,78.0,220.5,78.0,389.5,379.0,140.5,6.0,6.0,15.0,5.0,,x,radial_slot,DRILL_6.0_MM_BLIND_15.0_MM_AFTER_PILOT,6.0 mm blind to 15.0 mm nominal depth; preserve at least 2.0 mm floor,"6 mm blind bore, 15 mm deep; station socket relieves X axis"
RC03-INT-R1,e84db9aa7b88db442f042c6f546196e350c822a2e7609cb4b652b3da535df2e1,KBL-HOLD-F,m4_retention_through,keyboard_left,165.0,78.0,165.0,78.0,445.0,379.0,85.0,6.0,4.6,,,4.6,,,CENTER_PUNCH_ONLY_FINAL_BORE_FROM_FASTENER_MAP,FASTENER_MAP.csv qualified anchor row,"M4 through retention; washer/hand knob above, threaded anchor below"
RC03-INT-R1,e84db9aa7b88db442f042c6f546196e350c822a2e7609cb4b652b3da535df2e1,KBL-HOLD-R,m4_retention_through,keyboard_left,102.0,246.0,102.0,246.0,508.0,211.0,22.0,174.0,4.6,,,4.6,,,CENTER_PUNCH_ONLY_FINAL_BORE_FROM_FASTENER_MAP,FASTENER_MAP.csv qualified anchor row,"M4 through retention; washer/hand knob above, threaded anchor below"
RC03-INT-R1,e84db9aa7b88db442f042c6f546196e350c822a2e7609cb4b652b3da535df2e1,KBL-CLAMP,m4_retention_through,keyboard_left,165.0,254.5,165.0,254.5,445.0,202.5,85.0,182.5,4.6,,,4.6,,,CENTER_PUNCH_ONLY_FINAL_BORE_FROM_FASTENER_MAP,FASTENER_MAP.csv qualified anchor row,Shared station retention and adjustable rear-clamp hand knob
RC03-INT-R1,e84db9aa7b88db442f042c6f546196e350c822a2e7609cb4b652b3da535df2e1,KBR-HOLD-F,m4_retention_through,keyboard_right,323.75,78.0,323.75,78.0,286.25,379.0,81.25,6.0,4.6,,,5.6,,relieved_clamp_only,CENTER_PUNCH_ONLY_FINAL_BORE_FROM_FASTENER_MAP,FASTENER_MAP.csv qualified anchor row,"M4 through retention; 5.6 mm station relief, seam owns XY/yaw"
RC03-INT-R1,e84db9aa7b88db442f042c6f546196e350c822a2e7609cb4b652b3da535df2e1,KBR-HOLD-R,m4_retention_through,keyboard_right,383.0,246.0,383.0,246.0,227.0,211.0,140.5,174.0,4.6,,,5.6,,relieved_clamp_only,CENTER_PUNCH_ONLY_FINAL_BORE_FROM_FASTENER_MAP,FASTENER_MAP.csv qualified anchor row,"M4 through retention; 5.6 mm station relief, seam owns XY/yaw"
RC03-INT-R1,e84db9aa7b88db442f042c6f546196e350c822a2e7609cb4b652b3da535df2e1,KBR-CLAMP,m4_retention_through,keyboard_right,320.0,254.5,320.0,254.5,290.0,202.5,77.5,182.5,4.6,,,5.6,,relieved_clamp_only,CENTER_PUNCH_ONLY_FINAL_BORE_FROM_FASTENER_MAP,FASTENER_MAP.csv qualified anchor row,Shared slave-station retention and adjustable rear-clamp hand knob
RC03-INT-R1,e84db9aa7b88db442f042c6f546196e350c822a2e7609cb4b652b3da535df2e1,PT-LOC-ROUND,locator_pin_blind,phone_tcp,487.5,115.0,487.5,115.0,122.5,342.0,76.5,35.0,6.0,15.0,5.0,,,round,DRILL_6.0_MM_BLIND_15.0_MM_AFTER_PILOT,6.0 mm blind to 15.0 mm nominal depth; preserve at least 2.0 mm floor,"6 mm blind bore, 15 mm deep; epoxy 6x20 dowel with 5 mm projection"
RC03-INT-R1,e84db9aa7b88db442f042c6f546196e350c822a2e7609cb4b652b3da535df2e1,PT-LOC-RADIAL,locator_pin_blind,phone_tcp,487.5,217.8,487.5,217.8,122.5,239.2,76.5,137.8,6.0,15.0,5.0,,y,radial_slot,DRILL_6.0_MM_BLIND_15.0_MM_AFTER_PILOT,6.0 mm blind to 15.0 mm nominal depth; preserve at least 2.0 mm floor,"6 mm blind bore, 15 mm deep; station socket relieves Y axis"
