entity_id,category,geometry,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,x_center_mm,y_center_mm,z_center_mm,dimension_or_radius_mm,status,source_or_note
B_ORIGIN,reference,point,0,0,0,0,0,0,0,0,0,,CONTROLLED_NOMINAL,"Front-left corner of board top; +X right +Y rear +Z up"
BOARD,workcell,box,0,610,0,457,-18,0,305,228.5,-9,610x457x18,CONTROLLED_NOMINAL_NOT_MEASURED,active-project/RoCell_v0_3/config/workcell_layout.json
REQUIRED_VIEW,optical,rectangle,-30,640,-30,487,0,0,305,228.5,0,670x517,PROVISIONAL_SCREENING,"30 mm beyond every nominal board edge"
KEYBOARD_DEVICE,device,box,85,400,85,232,0,21,242.5,158.5,10.5,315x147x21,CONTROLLED_NOMINAL,workcell_layout.json
PHONE_DEVICE,device,box,499.2,577.1,84.2,248.6,4,11.9,538.15,166.4,7.95,77.9x164.4x7.9,CONTROLLED_NOMINAL,workcell_layout.json
ARM_CLAMP_OPENING,robot_interface,edge_zone,225,385,457,457,,,,305,457,,160 wide,CONTROLLED_NOMINAL,"Rear centre must remain unobstructed for factory table clamp"
ARM_BASE_AXIS_SCREEN,robot_screening,point,305,305,457,457,,,305,457,,,SCREENING_ONLY,"Base Z yaw and clamp offset unknown"
ARM_ENDPOINT_RADIUS_SCREEN,robot_screening,circle,,,,,,305,457,,560 radius,SCREENING_ONLY,"Published horizontal workspace endpoint radius; not a full-body collision envelope"
ARM_VERTICAL_SCREEN,robot_screening,plane,,,,,798,798,,,798,,SCREENING_ONLY,"Published maximum vertical workspace; reference and installed sweep not proven"
OVERHEAD_HARDWARE_FLOOR,safety_screening,plane,,,,,920,920,,,920,,SCREENING_ONLY,"Applies to camera boom bridge lights cable and fasteners whose XY projection enters swept area"
CAMERA_ENTRANCE_PUPIL,optical,point,305,305,228.5,228.5,1000,1000,305,228.5,1000,,SELECTED_NOMINAL,"Looking along -Z; exact entrance-pupil offset measured after receipt"
CAMERA_PUPIL_ADJUSTMENT,optical,box,255,355,178.5,278.5,950,1050,305,228.5,1000,100x100x100,QUALIFICATION_RANGE,"Hard-lock and positively index final setting"
CAMERA_CASE_ENVELOPE,camera,envelope_proxy,286,324,209.5,247.5,,,305,228.5,,38x38x86.8,PRODUCT_DRAWING_PROXY,"Z placement depends on measured lens-front to entrance-pupil and cage stack; use official STEP before cutting"
CAMERA_PLATE,camera_mount,rectangle,255,355,188.5,268.5,,,305,228.5,,100x80x3,DESIGN_CANDIDATE,"Replaceable aluminium plate; final aperture and holes from received camera"
POST_LEFT_AXIS,structure,line,-60,-60,-100,-100,,,,-60,-100,,1200 stock,SCREENING_CANDIDATE,"Distance to provisional arm axis 665.94 mm"
POST_RIGHT_AXIS,structure,line,670,670,-100,-100,,,,670,-100,,1200 stock,SCREENING_CANDIDATE,"Distance to provisional arm axis 665.94 mm"
LOWER_FRONT_RAIL_AXIS,structure,line,-95,705,-100,-100,,,305,-100,,800 length,DESIGN_CANDIDATE,"4040 datum rail; exact bench Z stack open"
UPPER_FRONT_CROSSBAR,structure,box,-95,705,-120,-80,1130,1170,305,-100,1150,800x40x40,DESIGN_CANDIDATE,"4040 screened profile; final Z set from camera stack and load review"
BOOM_LEFT_AXIS,structure,line,225,225,-100,300,1150,1150,225,100,1150,400 length,DESIGN_CANDIDATE,"4040 high-level boom; complete geometry stays above overhead floor"
BOOM_RIGHT_AXIS,structure,line,385,385,-100,300,1150,1150,385,100,1150,400 length,DESIGN_CANDIDATE,"4040 high-level boom; complete geometry stays above overhead floor"
CAMERA_BRIDGE_AXIS,structure,line,205,405,228.5,228.5,1150,1150,305,228.5,1150,200 length,DESIGN_CANDIDATE,"2040 bridge; exact carriage stack open"
FORWARD_FOOT_LEFT_AXIS,structure,line,-60,-60,-500,-100,,,,-60,-300,,400 length,DESIGN_CANDIDATE,"Low member extends only toward -Y; positively anchor to bench"
FORWARD_FOOT_RIGHT_AXIS,structure,line,670,670,-500,-100,,,,670,-300,,400 length,DESIGN_CANDIDATE,"Low member extends only toward -Y; positively anchor to bench"
LOW_SIDE_RAIL_EXCLUSION,structure_rule,exclusion,,,,0,517,-18,920,,,,OPEN_BLOCKING,"No low longitudinal rail beside/under the operating board is released; any candidate requires complete collision CAD"
BOARD_FRONT_STOP_L,board_interface,contact,150,150,0,0,-18,0,150,0,-9,,DESIGN_CANDIDATE,"Contacts vertical board face only; adjustable"
BOARD_FRONT_STOP_R,board_interface,contact,460,460,0,0,-18,0,460,0,-9,,DESIGN_CANDIDATE,"Contacts vertical board face only; adjustable"
BOARD_LEFT_STOP,board_interface,contact,0,0,260,260,-18,0,0,260,-9,,DESIGN_CANDIDATE,"Contacts vertical board face only; final interference CAD open"
BOARD_RIGHT_CLAMP,board_interface,contact,610,610,260,260,-18,0,610,260,-9,,DESIGN_CANDIDATE,"Pushes toward left datum; no part above board top"
