kit_id,module,route_requirement,job_id,job_stage,printed_contents,hardware_and_consumables,acceptance_signoff,kit_status,count_verified_by,count_verified_date,qa_status,qa_signed_by,qa_signed_date,evidence_reference,storage_label,print_material,process_profile
KIT-CAL,Calibration and qualification,required,00A,diagnostic,"1 keyboard corner-clearance coupon; 1 independently labeled board/seam round-and-slot locator ladder; 1 tray-profile clearance gauge; 1 M4 washer gauge","Actual keyboard; 6 mm production dowel pins; measured M4 screws and washers; calipers","Record keyboard_corner_coupon_pass keyboard_station_registration_coupon_pass and tray_clearance_holes_coupon_pass; retain the seam section for job 01",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-CAL,QIDI ABS Rapido,abs_rapido_tray_structural_0p4
KIT-CAL,Calibration and qualification,required,00B,diagnostic,"1 phone width coupon; 1 station locator ladder; 1 legacy top-loading captive M4 nut screening gauge; 1 PHONE-labeled production-floor M3 insert gauge; 1 legacy cable-saddle screening gauge; 1 M4 washer gauge","Actual phone in final case state; 6 mm production dowel pins; M4 hardware; M3 inserts; washer samples; selected wider cable tie","Record phone_width_coupon_pass; phone_station_registration_coupon_pass; phone_station_m3_insert_coupon_pass; cradle_m4_washer_coupon_pass. Retain the failed nut and cable-saddle objects as superseded screening evidence only",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-CAL,QIDI ABS Rapido,abs_rapido_cradle_0p4
KIT-CAL,Calibration and qualification,required,00C,diagnostic,"1 RoArm grip coupon; 1 stepped spring gauge; 1 TOOL-labeled production-edge M3 insert gauge; 1 M3 head gauge","RoArm gripper; selected spring; M3 inserts and cap screws; calipers; optional force gauge","Record gripper_coupon_pass; spring_fit_coupon_pass; compliant_tool_m3_insert_coupon_pass; precision_m3_head_coupon_pass",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-CAL,QIDI ABS Rapido,abs_rapido_precision_0p4
KIT-CAL,Calibration and qualification,phone_stylus_route,00D,diagnostic,1 stylus diameter gauge,"Actual stylus; selected plastics-compatible removable compound if dry fit is insufficient; calipers","Record stylus_gauge_coupon_pass and document dry-fit or minimal removable-compound retention; no thin-wall radial screw",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-CAL,PETG,petg_adapter_0p4
KIT-CAL,Calibration and qualification,required,00E,diagnostic,"1 general hardware gauge; 1 head washer and camera-hex gauge; 1 rigid TPU-retention gauge","Actual M3 M4 M5 and 1/4-20 hardware; M4 and M5 washers; retain gauge for TPU first articles","Record general_clearance_holes_coupon_pass and setup_hardware_coupon_pass; retain labeled hardware samples",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-CAL,QIDI ABS Rapido,abs_rapido_general_0p4
KIT-CAL,Calibration and qualification,required,00F,diagnostic,"1 calibration-profile clearance gauge; 1 M3 button-head recess gauge","Actual M3 x 10 mm button-head puck screw; calipers","Verify the smallest freely passing M3 hole and smallest below-face M3 button-head recess with the exact abs_rapido_calibration_0p4 profile; record calibration_clearance_holes_coupon_pass including smallest_free_hole_mm and m3_head_recess_d_mm",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-CAL,QIDI ABS Rapido,abs_rapido_calibration_0p4
KIT-KB,Integrated keyboard station,required,01,first_article,1 left master keyboard station,"Retained job 00A seam ladder; 2 selected 6 mm dowel pins; 3 temporary/production M4 station bolts; 3 M4 washers","Verify master round/slot sockets; continuous base contact at all three retention zones; measure/test seam posts against the ladder; inspect clamp track and support-plane flatness; record keyboard_left_first_article_pass and keyboard_seam_coupon_pass",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-KB,QIDI ABS Rapido,abs_rapido_tray_structural_0p4
KIT-KB,Integrated keyboard station,required,02,production,1 right slave keyboard station,"3 temporary/production M4 station bolts; 3 M4 washers","Mate to job 01 without an independent locator pair; verify seam gap flushness support plane continuous base contact and no rocking; complete station-pair acceptance",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-KB,QIDI ABS Rapido,abs_rapido_tray_structural_0p4
KIT-KB,Integrated keyboard station,required,03B,production,2 guided keyboard rear clamp sliders,"2 low-profile M4 thumb screws; 2 clamp face pads 42 x 10 x 0.8-1.0 mm","Verify both sliders match; runners and slots are clean; install pads; complete ten keyboard remove-and-reinstall cycles",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-KB,QIDI ABS Rapido,abs_rapido_general_0p4
KIT-PHONE,Integrated phone and TCP station,required,03A,first_article,1 phone/TCP service station,"2 selected 6 mm dowel pins; 3 M4 station bolts; 3 M4 washers; 2 M3 heat-set inserts; 1 accepted cable tie","Verify continuous base contact at all three retention zones locator sockets fixed phone datums keyed TCP receiver replaceable-rail interface and the rail-mounted cable saddle; complete ten station cycles",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-PHONE,QIDI ABS Rapido,abs_rapido_cradle_0p4
KIT-PHONE,Phone fixture,required,05A,first_article,1 phone TPU clamp tip,"Actual M4 clamp screw and retained rigid M4 peg; optional force gauge","Inspect bore and witness band; perform defined pull-off test; record phone_tpu_retention_coupon_pass",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-PHONE,TPU 95A,tpu95a_0p4
KIT-PHONE,Phone fixture,required,05B,production,3 additional phone TPU clamp tips,"Two M4 clamp screws; labeled spare bag","Confirm four accepted tips total from jobs 05A and 05B; label two INSTALL and two SPARE; complete phone-fixture assembly signoff",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-PHONE,TPU 95A,tpu95a_0p4
KIT-PHONE,Integrated phone and TCP station,required,03C1,first_article,1 production-equivalent replaceable phone keeper and clamp-tower rail,"2 standard M4 hex nuts; 2 M4 clamp screws; actual USB cable; nominal 4.8 mm x <=1.5 mm project tie; actual phone; accepted service station and TPU tips only for the later seating stage","Bench-qualify both redesigned 7.2 mm nut seats and the 5.6 x 2.2 mm tie saddle first; record phone_m4_captive_nut_coupon_pass and cable_tie_saddle_coupon_pass. After Job 03A exists verify rail seating keepouts and replacement; record phone_clamp_rail_first_article_pass",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-PHONE,QIDI ABS Rapido,abs_rapido_cradle_0p4
KIT-BOARD-SETUP,Direct AprilTag and board setup,required,03C2,production,1 reusable 55 mm tag application frame,"1:1 RC03 board setup template; six full-surface matte adhesive tag tiles plus one spare set; IPA-safe cleaning supplies; lint-free wipes; steel rule; calipers","Verify both 100 mm template scale bars; apply IDs 0-5 directly to the finished sealed board; measure installed XY yaw and optical-plane Z; record tag_application_tool_postprint_pass tag_direct_installation_pass and tag_plane_placement_measured",NOT_KITTED,,,NOT_INSPECTED,,,,RC03-INT-R1 KIT-BOARD-SETUP,QIDI ABS Rapido,abs_rapido_general_0p4
