line_id,category,bag_id,item_id,quantity,unit,specification,print_job_or_use,state,notes
P001,Printed ABS,P-08A-S1,board_corner_saddle_left,1,each,ABS Rapido,08A-S1,PROTOTYPE,Use the exact generated 3MF and mapped process at 100% scale.
P002,Printed ABS,P-08B-S1,board_corner_saddle_right,1,each,ABS Rapido,08B-S1,PROTOTYPE,Use the exact generated 3MF and mapped process at 100% scale.
P003,Printed ABS,P-08A-S2,board_corner_cap_left,1,each,ABS Rapido,08A-S2,PROTOTYPE,Use the exact generated 3MF and mapped process at 100% scale.
P004,Printed ABS,P-08B-S2,board_corner_cap_right,1,each,ABS Rapido,08B-S2,PROTOTYPE,Use the exact generated 3MF and mapped process at 100% scale.
P005,Printed TPU,P-00G-P1,board_pressure_pad,4,each,TPU 95A preferred; ABS Rapido fallback,00G-P1,PROTOTYPE,Use the exact generated 3MF and mapped process at 100% scale.
P006,Printed ABS,P-00G-S1,m6_nut_retainer,5,each,ABS Rapido,00G-S1;08A-S2;08B-S2,INCLUDES_SACRIFICIAL_TEST_PIECE,four installed mechanically latched channel closures plus one sacrificial 00G insertion/removal test piece; do not transfer the test retainer
P007,Printed ABS,P-08A-T1,upright_truss_segment_240,8,each,ABS Rapido,08A-T1;08A-T2;08B-T1;08B-T2,PROTOTYPE,one-piece open-U section
P008,Printed ABS,P-08C-X1,crossbar_truss_segment_182p5,4,each,ABS Rapido,08C-X1;08C-X2,PROTOTYPE,four interchangeable one-piece open-U modules; one center boss per module
P009,Printed ABS,P-08C-B1,boom_root_truss_segment_164p25,2,each,ABS Rapido,08C-B1,PROTOTYPE,one-piece open-U root module without conflicting vertical bores
P010,Printed ABS,P-08C-B2,boom_camera_truss_segment_164p25,2,each,ABS Rapido,08C-B2,PROTOTYPE,one-piece open-U distal module with two vertical carriage bores only at camera end
P011,Printed ABS,P-00G-S1,u_truss_splice,8,each,ABS Rapido,00G-S1;08A-S2;08B-S2;08C-J1,PROTOTYPE,104 mm long full-height open U collar for six upright and two boom joints
P012,Printed ABS,P-08C-J1,u_truss_splice_crossbar_2bolt,2,each,ABS Rapido,08C-J1,PROTOTYPE,92 mm long full-height outer-crossbar collar; one M5 bolt per adjoining member end preserves boom-root hardware access
P013,Printed ABS,P-08C-J1,u_truss_splice_center_4bolt,1,each,ABS Rapido,08C-J1,PROTOTYPE,92 mm long full-height center-crossbar collar using two diagonally separated M5 bolts per adjoining member end
P014,Printed ABS,P-08A-J1,portal_corner_node_left,2,each,ABS Rapido,08A-J1,PROTOTYPE,matched outside pair at left portal corner
P015,Printed ABS,P-08B-J1,portal_corner_node_right,2,each,ABS Rapido,08B-J1,PROTOTYPE,matched outside pair at right portal corner
P016,Printed ABS,P-08C-J2,boom_crossbar_node,4,each,ABS Rapido,08C-J2,PROTOTYPE,"identical 80 x 84 x 8 mm flat sandwich straps, one top and one flipped bottom at each boom root"
P017,Printed ABS,P-08C-C1,camera_xy_carriage,1,each,ABS Rapido,08C-C1,PROTOTYPE,Use the exact generated 3MF and mapped process at 100% scale.
P018,Printed ABS,P-08D-C1,camera_cage_body,1,each,ABS Rapido,08D-C1,PROTOTYPE,Use the exact generated 3MF and mapped process at 100% scale.
P019,Printed ABS,P-08D-C1,camera_cage_keeper,1,each,ABS Rapido,08D-C1,PROTOTYPE,planar four-bolt positive-retention keeper; no slide hooks or friction latch
P020,Printed TPU,P-00G-P1,camera_top_compression_pad,1,each,TPU 95A preferred; dimension-selected ABS spacer allowed only after 00G received-camera fit,00G-P1,PROTOTYPE,Use the exact generated 3MF and mapped process at 100% scale.
P021,Printed ABS,P-00G-C1,camera_case_shim_ladder,1,each,ABS Rapido,00G-C1,PROTOTYPE,"breakaway 0.3/0.6/0.9 mm labeled shims, two of each"
P022,Printed ABS,P-00G-C1,camera_case_fit_gauge,1,each,ABS Rapido,00G-C1,FIT_GATE,Use the exact generated 3MF and mapped process at 100% scale.
