issue_id,priority,area,summary,state,blocks_v1,owner,next_evidence,source
V1-001,P0,Safety,"Exact enclosed low-voltage E-stop/power-cutoff assembly, connectors, rating, placement, reset, and restart behavior are unresolved",OPEN,yes,Product engineering,"Select one purchasable assembly and complete electrical, stop-distance, reset, misuse, and restart qualification","config/v1_prehardware_configuration.json V1-OPEN-002"
V1-002,P0,Structure,"Board anchors, nine fastener stacks, reinforcement plate, feet, and anti-shift system are unresolved",OPEN,yes,Mechanical engineering,"Release exact SKUs/drawings and qualify pull-out, clamp load, rocking, board damage, and full-load stability","FASTENER_MAP.csv; config/v1_prehardware_configuration.json V1-OPEN-001"
V1-003,P0,Board,"Board material/supplier range, size tolerances, squareness, conditioning, finish, coat schedule, and cure are unresolved",OPEN,yes,Mechanical engineering,"Qualify representative blanks and publish incoming-inspection and finish criteria","config/v1_prehardware_configuration.json structural_board"
V1-004,P1,Printer,"The provisional 295 x 295 x 275 mm protected Plus4 envelope has no reference-machine physical evidence",PHYSICAL_QUALIFICATION_REQUIRED,yes,Print engineering,"Measure all axes/exclusions and physically print every release plate on the identified reference machine","config/parameters.json; QIDI official tech specs"
V1-005,P1,Keyboard,"Exact PERIBOARD-409 variant and real device geometry have not been received and measured",PHYSICAL_QUALIFICATION_REQUIRED,yes,Fixture engineering,"Record product label/layout/connector and measure body, feet, key field, and cable exit","Perixx PERIBOARD-409 official product page"
V1-006,P1,Phone,"Exact Galaxy A16 5G regional unit, no-go features, and bare-device fit are unqualified",PHYSICAL_QUALIFICATION_REQUIRED,yes,Fixture engineering,"Record model label and measure body, buttons, camera bump, glass edge, port, and orientation","Samsung Galaxy A16 5G official product page"
V1-007,P1,Cable,"Right-angle plug projection/direction, bend behavior, host/power compatibility, service loop, and port load are unqualified",PHYSICAL_QUALIFICATION_REQUIRED,yes,Systems engineering,"Receive R2CCR-1M-USB-CABLE and prove the final routing and strain relief with the bare phone","StarTech product page and datasheet"
V1-008,P1,Vision,"C920e mount depth, exposure/focus persistence, field coverage, lighting tolerance, and six-tag detection are unqualified",PHYSICAL_QUALIFICATION_REQUIRED,yes,Vision engineering,"Measure the camera; qualify retention and repeatable detection in every acceptance pose","Logitech C920e product and support pages"
V1-009,P1,Mast,"Paired 2020 mast fasteners, rigidity, disturbance recovery, and 24-hour stability are unqualified",PHYSICAL_QUALIFICATION_REQUIRED,yes,Mechanical engineering,"Build both posts/crossbar and record level, deflection, vibration, cable-disturbance, and drift results","BOM.csv; config/v1_prehardware_configuration.json camera_support"
V1-010,P1,Spring,"Lee LP022J01S316 may be too light once preload, friction, and contact-force limits are defined",PHYSICAL_QUALIFICATION_REQUIRED,yes,Tool engineering,"Measure received dimensions/rate and prove 1–6 mm travel, return, creep, rub, coil-bind margin, and final contact force","Lee Spring product page and catalog"
V1-011,P1,Tool,"6 mm rod, printed bushing, TPU tip, retention, spring behavior, and TCP repeatability are unqualified",PHYSICAL_QUALIFICATION_REQUIRED,yes,Tool engineering,"Build the keyboard tool and complete retention, pull-off, creep, key-actuation, cycle, and TCP repeatability tests","config/v1_prehardware_configuration.json v1_contact_tool"
V1-012,P1,Materials,"QIDI ABS Rapido and its exact X-Plus 4 preset are selected but physically unqualified; exact PETG and TPU spools plus any later fallback ASA adhesives pads tags epoxy and drying controls remain unresolved",OPEN,yes,Print engineering,"Qualify every ABS diagnostic first article and production plate; select exact PETG/TPU SKUs and presets; qualify fallback ASA only after formal release","config/print_profiles.json; config/v1_prehardware_configuration.json V1-OPEN-003"
V1-013,P1,Software,"Supported OS, QIDI Studio, RoArm controller/firmware, detector, homing, empty-cell, and final programs are unresolved as one release",OPEN,yes,Software engineering,"Freeze versions and prove clean-machine installation plus guided end-to-end operation","config/v1_prehardware_configuration.json V1-OPEN-004"
V1-014,P1,Product definition,"Intended operations, duty cycle, service life, maintenance intervals, and excluded-use claims are unresolved",OPEN,yes,Product engineering,"Approve the intended-use specification and reliability plan","config/v1_prehardware_configuration.json V1-OPEN-005"
V1-015,P2,Supply,"Plus4 availability/support varies by QIDI regional store; V1 supply and support strategy is unresolved",OPEN,yes,Commercial owner,"Confirm existing-owner market, supported firmware/service path, spares, and end-of-life policy","QIDI official regional product pages"
V1-016,P1,Route control,"True route-selection booleans record intended V1 scope and must not be mistaken for physical qualification or release",PHYSICAL_QUALIFICATION_REQUIRED,yes,Configuration control,"Keep all measurement and lifecycle gates evidence-controlled; document that selected_routes alone never authorizes downstream use","config/measurement_record.json; config/v1_prehardware_configuration.json"
V1-017,P1,Phone stylus,"The selected phone-stylus route has no exact stylus SKU or qualified gauge, collar, retention, contact, or TCP evidence",OPEN,yes,Tool engineering,"Select an exact passive stylus then qualify jobs 00D/04B, retention, force, touch reliability, cycles, creep, and TCP repeatability","config/v1_prehardware_configuration.json V1-OPEN-007"
V1-018,P0,Camera architecture,"User intent is an arm-mounted camera, but current RC03 controls a fixed overhead eye-to-hand mast and contains no exact arm-camera specification or mount",OPEN,yes,Systems engineering,"Freeze the camera/link/frame/mount, mass and center of mass, moving-cable route, pose visibility, eye-in-hand calibration, timing, payload, reach, and collision requirements; revise all affected controlled artifacts","config/camera_architecture_decision.json; config/v1_prehardware_configuration.json V1-OPEN-008"
