job_id,stage,selection,part_file,qty,material,process_profile,nozzle_mm,layer_mm,walls,top_layers,bottom_layers,infill_percent,infill_pattern,supports,orientation
00A,diagnostic,required,keyboard_corner_fit_test.stl,1,QIDI ABS Rapido,abs_rapido_tray_structural_0p4,0.4,0.2,5,6,6,35,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00A,diagnostic,required,station_locator_fit_gauge.stl,1,QIDI ABS Rapido,abs_rapido_tray_structural_0p4,0.4,0.2,5,6,6,35,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00A,diagnostic,required,hardware_fit_gauge.stl,1,QIDI ABS Rapido,abs_rapido_tray_structural_0p4,0.4,0.2,5,6,6,35,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00A,diagnostic,required,m4_washer_fit_gauge.stl,1,QIDI ABS Rapido,abs_rapido_tray_structural_0p4,0.4,0.2,5,6,6,35,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00B,diagnostic,required,phone_width_fit_test.stl,1,QIDI ABS Rapido,abs_rapido_cradle_0p4,0.4,0.2,5,5,5,30,gyroid,off; stop and obtain engineering approval if the locked layer preview shows an unprintable tower,Use the locked orientation and placement in the named 3MF; do not auto-orient
00B,diagnostic,required,station_locator_fit_gauge.stl,1,QIDI ABS Rapido,abs_rapido_cradle_0p4,0.4,0.2,5,5,5,30,gyroid,off; stop and obtain engineering approval if the locked layer preview shows an unprintable tower,Use the locked orientation and placement in the named 3MF; do not auto-orient
00B,diagnostic,required,m4_captive_nut_fit_gauge.stl,1,QIDI ABS Rapido,abs_rapido_cradle_0p4,0.4,0.2,5,5,5,30,gyroid,off; stop and obtain engineering approval if the locked layer preview shows an unprintable tower,Use the locked orientation and placement in the named 3MF; do not auto-orient
00B,diagnostic,required,phone_m3_insert_fit_gauge.stl,1,QIDI ABS Rapido,abs_rapido_cradle_0p4,0.4,0.2,5,5,5,30,gyroid,off; stop and obtain engineering approval if the locked layer preview shows an unprintable tower,Use the locked orientation and placement in the named 3MF; do not auto-orient
00B,diagnostic,required,cable_tie_saddle_fit_gauge.stl,1,QIDI ABS Rapido,abs_rapido_cradle_0p4,0.4,0.2,5,5,5,30,gyroid,off; stop and obtain engineering approval if the locked layer preview shows an unprintable tower,Use the locked orientation and placement in the named 3MF; do not auto-orient
00B,diagnostic,required,m4_washer_fit_gauge.stl,1,QIDI ABS Rapido,abs_rapido_cradle_0p4,0.4,0.2,5,5,5,30,gyroid,off; stop and obtain engineering approval if the locked layer preview shows an unprintable tower,Use the locked orientation and placement in the named 3MF; do not auto-orient
00C,diagnostic,required,compliant_tool_grip_fit_test.stl,1,QIDI ABS Rapido,abs_rapido_precision_0p4,0.4,0.16,5,6,6,40,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00C,diagnostic,required,spring_fit_gauge.stl,1,QIDI ABS Rapido,abs_rapido_precision_0p4,0.4,0.16,5,6,6,40,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00C,diagnostic,required,tool_m3_insert_fit_gauge.stl,1,QIDI ABS Rapido,abs_rapido_precision_0p4,0.4,0.16,5,6,6,40,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00C,diagnostic,required,m3_head_fit_gauge.stl,1,QIDI ABS Rapido,abs_rapido_precision_0p4,0.4,0.16,5,6,6,40,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
