kit_id,module,route_requirement,job_id,job_stage,printed_contents,hardware_and_consumables,acceptance_signoff,kit_status,count_verified_by,count_verified_date,qa_status,qa_signed_by,qa_signed_date,evidence_reference,storage_label
KIT-CAL,Calibration and qualification,required,00A,diagnostic,"1 keyboard corner coupon; 1 male seam coupon; 1 female seam coupon; 1 tray-profile clearance gauge; 1 M4 washer gauge","Actual keyboard; selected board screw and M4 washer; calipers","Record keyboard_corner_coupon_pass; keyboard_seam_coupon_pass; tray_clearance_holes_coupon_pass including m4_washer_od_mm",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-CAL
KIT-CAL,Calibration and qualification,required,00B,diagnostic,"1 phone width coupon; 1 horizontal M4 insert gauge; 1 cable-saddle gauge; 1 M4 washer gauge","Actual phone in final case state; M4 insert clamp screw and washer samples; candidate cable ties; calipers","Record phone_width_coupon_pass; m4_horizontal_insert_coupon_pass; cable_tie_saddle_coupon_pass; cradle_m4_washer_coupon_pass",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-CAL
KIT-CAL,Calibration and qualification,required,00C,diagnostic,"1 RoArm grip coupon; 1 stepped spring gauge; 1 M3 insert gauge; 1 M3 head gauge","RoArm gripper; selected spring; M3 inserts and cap screws; calipers; optional force gauge","Record gripper_coupon_pass; spring_fit_coupon_pass; m3_insert_coupon_pass; precision_m3_head_coupon_pass",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-CAL
KIT-CAL,Calibration and qualification,required,00D,diagnostic,"1 stylus diameter gauge; 1 horizontal thread-pilot gauge","Actual stylus; candidate M2 and M3 grub screws; M2 tap and pin vise; calipers","Record stylus_gauge_coupon_pass and document the selected adapter-retention pilot or adhesive method",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-CAL
KIT-CAL,Calibration and qualification,required,00E,diagnostic,"1 general hardware gauge; 1 head washer and camera-hex gauge; 1 rigid TPU-retention gauge","Actual #8 M3 M4 M5 and 1/4-20 hardware; M4 and M5 washers; retain gauge for TPU first articles","Record general_clearance_holes_coupon_pass and setup_hardware_coupon_pass; retain labeled hardware samples",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-CAL
KIT-CAL,Calibration and qualification,required,00F,diagnostic,"1 calibration-profile clearance gauge; 1 M4 washer gauge","Actual M4 fastener and washer sample; calipers","Verify M4 clearance and washer seating with the exact petg_calibration_0p4 profile; record calibration_clearance_holes_coupon_pass including m4_washer_od_mm",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-CAL
KIT-KB,Keyboard fixture,required,01,first_article,1 left keyboard tray,"4 #8 x 5/8 in screws; 4 M4 washers; 2 tray anti-slip pads 16 x 10 x 0.5-0.6 mm","Verify identity and revision; four closed slots and washer tracks; flat support rails; seam keys; record keyboard_left_first_article_pass",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-KB
KIT-KB,Keyboard fixture,required,02,production,1 right keyboard tray,"4 #8 x 5/8 in screws; 4 M4 washers; 2 tray anti-slip pads 16 x 10 x 0.5-0.6 mm","Mate to job 01; verify flush seam total envelope and no rocking; complete keyboard-pair acceptance",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-KB
KIT-KB,Keyboard fixture,required,03B,production,2 keyboard rear clamps,"2 #8 x 5/8 in screws; 2 M4 washers; 2 clamp face pads 42 x 10 x 0.8-1.0 mm","Verify both bases flat and gussets intact; install pads; complete ten keyboard remove-and-reinstall cycles",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-KB
KIT-PHONE,Phone fixture,required,03A,production,1 phone cradle,"4 #8 x 5/8 in screws; 4 M4 washers; 2 M4 inserts; 2 M4 x 25 mm hand screws; 1 accepted cable tie; 1 optional board cable anchor","Verify base and rails flat; install inserts square; confirm buttons camera USB and cable route; complete ten phone cycles",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-PHONE
KIT-PHONE,Phone fixture,required,05A,first_article,1 phone TPU clamp tip,"Actual M4 clamp screw and retained rigid M4 peg; optional force gauge","Inspect bore and witness band; perform defined pull-off test; record phone_tpu_retention_coupon_pass",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-PHONE
KIT-PHONE,Phone fixture,required,05B,production,3 additional phone TPU clamp tips,"Two M4 clamp screws; labeled spare bag","Confirm four accepted tips total from jobs 05A and 05B; label two INSTALL and two SPARE; complete phone-fixture assembly signoff",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-PHONE
KIT-VISION-TAG,AprilTag fixtures,required,03C1,first_article,1 ID0 tag frame,"2 #8 x 5/8 in screws; 2 M4 washers; ID0 55 mm paper tile; matte double-sided tape","Verify 40.0 mm detection edge; paper lies flat clear of washers; +Y orientation; record tag_frame_first_article_pass",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-VISION-TAG
KIT-VISION-TAG,AprilTag fixtures,required,03C2,production,"1 each ID1 ID2 ID3 ID4 and ID5 tag frame","10 #8 x 5/8 in screws; 10 M4 washers; five matching 55 mm paper tiles; matte double-sided tape","Verify all six IDs and +Y arrows; tiles flat; fasteners clear artwork; camera detects every tag without cable occlusion",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-VISION-TAG
KIT-VISION-CAM,Camera mount,required,03C3,production,1 universal camera plate,"Actual USB camera; 1 measured 1/4-20 screw and conditional nut; 2 M5 T-slot screws; 2 M5 T-nuts; 2 M5 washers; 2 straps or narrow ties","Verify camera interface and screw depth; strap retention; washer seating; optical view includes all tags and devices",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-VISION-CAM
KIT-PUCK,TCP calibration,required,03D,production,1 calibration puck,"2 #8 x 5/8 in screws; 2 M4 washers","Inspect divot and crosshair; verify free and mounted flatness; record assembled datum height and calibration-puck acceptance",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-PUCK
KIT-TOOL-COMMON,Compliant tool common,any_tool_route,04A,route,"1 compliant tool body; 2 keyed top caps including 1 spare","2 M3 heat-set inserts; 2 M3 x 10 mm button-head screws; 1 accepted spring; optional force gauge","Verify body straightness grip flats bore insert alignment key fit and cap seating; later require 3-6 mm smooth travel without coil bind",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-TOOL-COMMON
KIT-TOOL-PHONE,Phone stylus route,phone_stylus_route,04B,route,"2 stylus collars including 1 qualification spare","1 accepted capacitive stylus; selected M2 x 3 mm grub screw or removable adhesive; M2 tap if used","Qualify retention on the actual thin-wall collar; verify 24-hour creep smooth chamber travel and phone conductivity",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-TOOL-PHONE
KIT-TOOL-KB,Keyboard rod route,keyboard_rod_route,04C,route,"2 rod bushings including 1 qualification spare","1 deburred 6 mm rod; selected removable retaining adhesive if required; calipers","Verify measured bore and flange; qualify axial pull retention and 24-hour creep before robot use",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-TOOL-KB
KIT-TOOL-KB,Keyboard rod route,keyboard_rod_route,05C,first_article,1 keyboard TPU tip,"Actual 6 mm rod and retained rigid 6 mm peg; optional force gauge","Inspect bore and witness band; perform defined pull-off test; record keyboard_tpu_retention_coupon_pass",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-TOOL-KB
KIT-TOOL-KB,Keyboard rod route,keyboard_rod_route,05D,production,3 additional keyboard TPU tips,"Accepted 6 mm rod; labeled spare bag","Confirm four accepted tips total from jobs 05C and 05D; label two INSTALL and two SPARE",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-TOOL-KB
KIT-MAST,Optional camera mast,camera_mast_optional,06,diagnostic,"1 ASA 2020 socket ladder; 1 production-axis M5 nut clearance and washer gauge","Actual 2020 extrusion sample; M5 bolt nut and washer samples; calipers","Record asa_mast_socket_coupon_pass; asa_m5_nut_coupon_pass; asa_m5_clearance_coupon_pass using the final ASA spool",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-MAST
KIT-MAST,Optional camera mast,camera_mast_optional,07A,first_article,1 mast foot A,"1 vertical 2020 post; 2 M5 x 60 mm bolts; 2 M5 nuts; 2 M5 head washers; 4 base anchors; 4 M5 base washers","Install post without bolt interference; alternate clamp tightening; verify base flatness and cracks immediately and after 24 hours; record mast_foot_first_article_pass",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-MAST
KIT-MAST,Optional camera mast,camera_mast_optional,07B,optional,1 mast foot B,"1 vertical 2020 post; 2 M5 x 60 mm bolts; 2 M5 nuts; 2 M5 head washers; 4 base anchors; 4 M5 base washers","Repeat first-article checks; label feet A and B; verify paired mast seating crossbar level and stand stability",NOT_KITTED,,,NOT_INSPECTED,,,,RC02-PRO-R1 KIT-MAST
