id,x,y,diameter,instruction
KB-L1,102.0,90.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
KB-L2,220.5,90.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
KB-L3,102.0,227.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
KB-L4,220.5,227.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
KB-R1,264.5,90.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
KB-R2,383.0,90.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
KB-R3,264.5,227.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
KB-R4,383.0,227.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
KB-CLAMP-1,165.0,254.5,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
KB-CLAMP-2,320.0,254.5,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
PHONE-1,487.5,115.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
PHONE-2,487.5,217.8,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
PHONE-3,588.8,149.12,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
PHONE-4,588.8,192.32,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
CAL-1,423.0,160.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
CAL-2,459.0,160.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
T0-A,14.0,40.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
T0-B,80.0,40.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
T1-A,407.0,40.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
T1-B,473.0,40.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
T2-A,14.0,410.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
T2-B,80.0,410.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
T3-A,530.0,410.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
T3-B,596.0,410.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
K0-A,291.0,309.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
K0-B,357.0,309.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
P0-A,426.0,309.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
P0-B,492.0,309.0,4.6,3.0 mm pilot for wood screw OR 4.5-5.0 mm through-hole for M4 bolt
