job_id,stage,selection,part_file,qty,material,process_profile,nozzle_mm,layer_mm,walls,top_layers,bottom_layers,infill_percent,infill_pattern,supports,orientation
00A,diagnostic,required,keyboard_corner_fit_test.stl,1,PETG,petg_tray_structural_0p4,0.4,0.2,5,6,6,35,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00A,diagnostic,required,keyboard_seam_fit_male.stl,1,PETG,petg_tray_structural_0p4,0.4,0.2,5,6,6,35,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00A,diagnostic,required,keyboard_seam_fit_female.stl,1,PETG,petg_tray_structural_0p4,0.4,0.2,5,6,6,35,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00A,diagnostic,required,hardware_fit_gauge.stl,1,PETG,petg_tray_structural_0p4,0.4,0.2,5,6,6,35,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00A,diagnostic,required,m4_washer_fit_gauge.stl,1,PETG,petg_tray_structural_0p4,0.4,0.2,5,6,6,35,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00B,diagnostic,required,phone_width_fit_test.stl,1,PETG,petg_cradle_0p4,0.4,0.2,5,5,5,30,gyroid,build-plate only under horizontal clamp bores if needed,Use the locked orientation and placement in the named 3MF; do not auto-orient
00B,diagnostic,required,m4_horizontal_insert_fit_gauge.stl,1,PETG,petg_cradle_0p4,0.4,0.2,5,5,5,30,gyroid,build-plate only under horizontal clamp bores if needed,Use the locked orientation and placement in the named 3MF; do not auto-orient
00B,diagnostic,required,cable_tie_saddle_fit_gauge.stl,1,PETG,petg_cradle_0p4,0.4,0.2,5,5,5,30,gyroid,build-plate only under horizontal clamp bores if needed,Use the locked orientation and placement in the named 3MF; do not auto-orient
00B,diagnostic,required,m4_washer_fit_gauge.stl,1,PETG,petg_cradle_0p4,0.4,0.2,5,5,5,30,gyroid,build-plate only under horizontal clamp bores if needed,Use the locked orientation and placement in the named 3MF; do not auto-orient
00C,diagnostic,required,compliant_tool_grip_fit_test.stl,1,PETG,petg_precision_0p4,0.4,0.16,5,6,6,40,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00C,diagnostic,required,spring_fit_gauge.stl,1,PETG,petg_precision_0p4,0.4,0.16,5,6,6,40,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00C,diagnostic,required,m3_insert_fit_gauge.stl,1,PETG,petg_precision_0p4,0.4,0.16,5,6,6,40,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00C,diagnostic,required,m3_head_fit_gauge.stl,1,PETG,petg_precision_0p4,0.4,0.16,5,6,6,40,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00D,diagnostic,required,stylus_diameter_gauge.stl,1,PETG,petg_adapter_0p4,0.4,0.12,4,5,5,100,rectilinear,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00D,diagnostic,required,thread_pilot_fit_gauge.stl,1,PETG,petg_adapter_0p4,0.4,0.12,4,5,5,100,rectilinear,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00E,diagnostic,required,hardware_fit_gauge.stl,1,PETG,petg_general_0p4,0.4,0.2,4,5,5,25,gyroid,off unless a job override says otherwise,Use the locked orientation and placement in the named 3MF; do not auto-orient
00E,diagnostic,required,setup_hardware_fit_gauge.stl,1,PETG,petg_general_0p4,0.4,0.2,4,5,5,25,gyroid,off unless a job override says otherwise,Use the locked orientation and placement in the named 3MF; do not auto-orient
00E,diagnostic,required,tpu_tip_retention_gauge.stl,1,PETG,petg_general_0p4,0.4,0.2,4,5,5,25,gyroid,off unless a job override says otherwise,Use the locked orientation and placement in the named 3MF; do not auto-orient
00F,diagnostic,required,hardware_fit_gauge.stl,1,PETG,petg_calibration_0p4,0.4,0.16,4,6,6,40,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
00F,diagnostic,required,m4_washer_fit_gauge.stl,1,PETG,petg_calibration_0p4,0.4,0.16,4,6,6,40,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
01,first_article,required,keyboard_tray_left.stl,1,PETG,petg_tray_structural_0p4,0.4,0.2,5,6,6,35,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
02,production,required,keyboard_tray_right.stl,1,PETG,petg_tray_structural_0p4,0.4,0.2,5,6,6,35,gyroid,off,Use the locked orientation and placement in the named 3MF; do not auto-orient
03A,production,required,phone_cradle_a16.stl,1,PETG,petg_cradle_0p4,0.4,0.2,5,5,5,30,gyroid,build-plate only under horizontal clamp bores if needed,Use the locked orientation and placement in the named 3MF; do not auto-orient
03B,production,required,keyboard_rear_clamp.stl,2,PETG,petg_general_0p4,0.4,0.2,4,5,5,25,gyroid,off unless a job override says otherwise,Use the locked orientation and placement in the named 3MF; do not auto-orient
03C1,first_article,required,tag_frame_ID0_55mm.stl,1,PETG,petg_general_0p4,0.4,0.2,4,5,5,25,gyroid,off unless a job override says otherwise,Use the locked orientation and placement in the named 3MF; do not auto-orient
03C2,production,required,tag_frame_ID1_55mm.stl,1,PETG,petg_general_0p4,0.4,0.2,4,5,5,25,gyroid,off unless a job override says otherwise,Use the locked orientation and placement in the named 3MF; do not auto-orient
