job_id,plate_file,stage,selection,material,process_profile,nozzle_mm,layer_mm,purpose,prerequisites,objects,extent_x_mm,extent_y_mm,extent_z_mm
00A,00A_ABS_keyboard_station_fit_tests.3mf,diagnostic,required,QIDI ABS Rapido,abs_rapido_tray_structural_0p4,0.4,0.2,"ABS keyboard datum, board/seam locator, clearance, and washer qualification using the exact station profile",plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;abs_rapido_tray_profile_calibrated,4,246.0,122.0,11.0
00B,00B_ABS_phone_station_fit_tests.3mf,diagnostic,required,QIDI ABS Rapido,abs_rapido_cradle_0p4,0.4,0.2,"ABS phone width, station locator, profile-specific M3 insert, and washer qualification; retained nut and cable-saddle objects document superseded screening geometry",plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;abs_rapido_cradle_profile_calibrated,6,256.0,172.0,16.6
00C,00C_ABS_tool_profile_fit_tests.3mf,diagnostic,required,QIDI ABS Rapido,abs_rapido_precision_0p4,0.4,0.16,"ABS RoArm grip, stepped spring seat, profile-specific M3 insert, and M3 head tests using the exact tool profile",plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;abs_rapido_precision_profile_calibrated,4,156.0,70.0,34.0
00D,00D_PETG_adapter_profile_fit_tests.3mf,diagnostic,phone_stylus_route,PETG,petg_adapter_0p4,0.4,0.12,Phone-stylus-route sliding-fit qualification using the exact adapter profile,plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;petg_adapter_profile_calibrated,1,92.0,28.0,4.0
00E,00E_ABS_general_setup_tests.3mf,diagnostic,required,QIDI ABS Rapido,abs_rapido_general_0p4,0.4,0.2,"ABS general clearance, screw-head, washer, camera-hex, and TPU-retention setup tests",plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;abs_rapido_general_profile_calibrated,3,208.0,124.0,14.0
00F,00F_ABS_calibration_profile_clearance_test.3mf,diagnostic,required,QIDI ABS Rapido,abs_rapido_calibration_0p4,0.4,0.16,ABS M3 clearance and M3 button-head recess verification using the exact fine-layer calibration-puck profile,plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;abs_rapido_calibration_profile_calibrated,2,160.0,70.0,6.6
01,01_ABS_keyboard_station_left.3mf,first_article,required,QIDI ABS Rapido,abs_rapido_tray_structural_0p4,0.4,0.2,"ABS left master keyboard station with integrated datums, locator sockets, clamp track, and seam posts",plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;abs_rapido_tray_profile_calibrated;keyboard_dimensions_measured;keyboard_corner_coupon_pass;keyboard_station_registration_coupon_pass;tray_clearance_holes_coupon_pass;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,1,184.5,192.0,7.0
02,02_ABS_keyboard_station_right.3mf,production,required,QIDI ABS Rapido,abs_rapido_tray_structural_0p4,0.4,0.2,ABS right slave keyboard station located from the accepted left-station seam,plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;abs_rapido_tray_profile_calibrated;keyboard_dimensions_measured;keyboard_corner_coupon_pass;keyboard_seam_coupon_pass;keyboard_station_registration_coupon_pass;tray_clearance_holes_coupon_pass;geometry_matches_measurements;keyboard_left_first_article_pass;qidi_studio_roundtrip_confirmed,1,162.5,192.0,7.0
03A,03A_ABS_phone_TCP_station.3mf,first_article,required,QIDI ABS Rapido,abs_rapido_cradle_0p4,0.4,0.2,"Integrated ABS phone and TCP service station with fixed datums, keyed receiver, and replaceable-rail interface",plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;abs_rapido_cradle_profile_calibrated;phone_dimensions_measured;phone_side_features_measured;phone_cable_measured;phone_width_coupon_pass;phone_station_registration_coupon_pass;phone_m4_captive_nut_coupon_pass;phone_station_m3_insert_coupon_pass;cable_tie_saddle_coupon_pass;cradle_m4_washer_coupon_pass;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,1,186.3,172.8,10.5
03B,03B_ABS_keyboard_clamps.3mf,production,required,QIDI ABS Rapido,abs_rapido_general_0p4,0.4,0.2,Two replaceable ABS guided keyboard rear clamp sliders,plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;abs_rapido_general_profile_calibrated;keyboard_dimensions_measured;keyboard_corner_coupon_pass;general_clearance_holes_coupon_pass;setup_hardware_coupon_pass;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,2,112.0,32.0,17.0
03C1,03C1_ABS_phone_clamp_rail.3mf,first_article,required,QIDI ABS Rapido,abs_rapido_cradle_0p4,0.4,0.2,Production-equivalent ABS phone keeper and clamp-tower rail that qualifies the revised captive-nut seats and adopted wide-tie saddle before Job 03A,plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;abs_rapido_cradle_profile_calibrated;phone_width_coupon_pass;cradle_m4_washer_coupon_pass;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,1,19.2,172.8,16.0
03C2,03C2_ABS_board_setup_tools.3mf,production,required,QIDI ABS Rapido,abs_rapido_general_0p4,0.4,0.2,Reusable ABS 55 mm direct-tag application frame and board setup tooling,plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;abs_rapido_general_profile_calibrated;tag_stock_measured;tag_artwork_scale_pass;board_setup_template_scale_pass;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,1,75.0,75.0,2.4
03C3,03C3_PETG_camera_plate.3mf,production,camera_mast_optional,PETG,petg_general_0p4,0.4,0.2,Fixed-mast fallback camera plate; not an arm-camera adapter and not released while the camera architecture hold is open,fixed_camera_fallback_architecture_released;plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;petg_general_profile_calibrated;camera_mount_interface_measured;general_clearance_holes_coupon_pass;setup_hardware_coupon_pass;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,1,90.0,55.0,6.0
03D,03D_ABS_TCP_datum_cartridges.3mf,first_article,required,QIDI ABS Rapido,abs_rapido_calibration_0p4,0.4,0.16,Two keyed ABS TCP datum cartridges: one selected INSTALL datum and one qualified recalibration-required SPARE,plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;abs_rapido_calibration_profile_calibrated;calibration_clearance_holes_coupon_pass;phone_station_registration_coupon_pass;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,2,72.0,30.0,4.0
04A,04A_ABS_shared_compliant_tool.3mf,route,any_tool_route,QIDI ABS Rapido,abs_rapido_precision_0p4,0.4,0.16,Shared ABS compliant tool body with keyed cap and one spare cap,plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;abs_rapido_precision_profile_calibrated;compliant_tool_m3_insert_coupon_pass;gripper_interface_measured;gripper_coupon_pass;spring_dimensions_measured;spring_fit_coupon_pass;precision_m3_head_coupon_pass;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,3,100.0,24.0,66.2
04B,04B_PETG_phone_stylus_adapters.3mf,route,phone_stylus_route,PETG,petg_adapter_0p4,0.4,0.12,Two phone-route stylus collars for thin-wall retention qualification and one spare,plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;petg_adapter_profile_calibrated;stylus_diameter_measured;stylus_gauge_coupon_pass;adapter_retention_method_selected;qidi_studio_roundtrip_confirmed,2,33.6,13.6,5.5
04C,04C_PETG_keyboard_rod_adapters.3mf,route,keyboard_rod_route,PETG,petg_adapter_0p4,0.4,0.12,Two keyboard-route rod bushings for retention qualification and one spare,plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;petg_adapter_profile_calibrated;keyboard_rod_measured;adapter_retention_method_selected;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,2,38.5,13.5,38.8
05A,05A_TPU_phone_tip_first_article.3mf,first_article,required,TPU 95A,tpu95a_0p4,0.4,0.16,One phone TPU tip for dimensional and pull-off acceptance,plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;tpu_profile_calibrated;qidi_studio_roundtrip_confirmed,1,7.5,7.5,8.0
05B,05B_TPU_phone_tips_and_spares.3mf,production,required,TPU 95A,tpu95a_0p4,0.4,0.16,"Three additional phone TPU tips, yielding two installed and two total spares",plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;tpu_profile_calibrated;phone_tpu_retention_coupon_pass;qidi_studio_roundtrip_confirmed,3,47.5,7.5,8.0
05C,05C_TPU_keyboard_tip_first_article.3mf,first_article,keyboard_rod_route,TPU 95A,tpu95a_0p4,0.4,0.16,One keyboard TPU tip for dimensional and pull-off acceptance,plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;tpu_profile_calibrated;keyboard_rod_measured;qidi_studio_roundtrip_confirmed,1,12.0,12.0,14.0
05D,05D_TPU_keyboard_tips_and_spares.3mf,production,keyboard_rod_route,TPU 95A,tpu95a_0p4,0.4,0.16,"Three additional keyboard TPU tips, yielding two installed and two total spares",plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;tpu_profile_calibrated;keyboard_rod_measured;keyboard_tpu_retention_coupon_pass;qidi_studio_roundtrip_confirmed,3,52.0,12.0,14.0
06,06_ASA_mast_fit_tests.3mf,diagnostic,camera_mast_optional,ASA,asa_structural_0p4,0.4,0.24,Fixed-mast fallback 2020 socket and production-axis M5 nut/clearance/washer tests; blocked until the fallback architecture is explicitly released,fixed_camera_fallback_architecture_released;plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;asa_profile_calibrated,2,146.0,90.0,30.0
07A,07A_ASA_mast_foot_first_article.3mf,first_article,camera_mast_optional,ASA,asa_structural_0p4,0.4,0.24,First fixed-mast fallback foot with rear-lug clamp bolts; not part of the intended arm-mounted camera architecture,fixed_camera_fallback_architecture_released;plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;asa_profile_calibrated;asa_mast_socket_coupon_pass;asa_m5_nut_coupon_pass;asa_m5_clearance_coupon_pass;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,1,92.0,92.0,74.0
07B,07B_ASA_mast_foot_second.3mf,optional,camera_mast_optional,ASA,asa_structural_0p4,0.4,0.24,Second fixed-mast fallback foot after first-article acceptance; not part of the intended arm-mounted camera architecture,fixed_camera_fallback_architecture_released;plus4_machine_confirmed;plus4_protected_envelope_verified;nozzle_0p4_confirmed;asa_profile_calibrated;asa_mast_socket_coupon_pass;asa_m5_nut_coupon_pass;asa_m5_clearance_coupon_pass;geometry_matches_measurements;mast_foot_first_article_pass;qidi_studio_roundtrip_confirmed,1,92.0,92.0,74.0
